material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern,is_low_kappa_candidate,space_group,space_group_number,crystal_system
8973ebd0ca,ReOF5,28,460.95376759042506,4.282508274692231,1188.793664,3.182687420483681,1.852458108405316,0.0525419585802251,0.0970206735269711,0.2562666376216487,1.530539167534812,0.0269396943510014,0.0102018826362456,0.0264929609201547,0.0636319905810468,"ternary oxide (A-B-O, other ratio)",True,Pnma,62.0,orthorhombic
abbd9e4b22,COF14,32,562.9635055646781,1.7343153906021582,587.9754896000001,5.497180044034906,2.4049955891438834,0.0546488727790767,0.0375720622359652,0.3090923417428674,1.8305178119567744,0.0436744203135016,0.0283238881368444,0.0434407366346484,0.0662830924903784,"ternary oxide (A-B-O, other ratio)",True,P2_1,4.0,monoclinic
f7559a5b03,S24ClO3,28,935.6837515752256,1.513821760227983,853.0111999999999,1.1335221419103194,1.0443236361365982,0.0741520212997297,0.0697534681630291,0.1475761082048619,1.1053717790643478,0.0367186239934734,0.0181268310396172,0.0362268431845589,0.0684267655869098,"ternary oxide (A-B-O, other ratio)",True,R3m,160.0,trigonal
5174372520,ReAsOF10,26,425.916414125236,3.642300474808822,934.224064,9.44330250813293,2.2532288154488107,0.0454561805479386,0.1470313984478792,0.3894867032074298,2.506470319619212,0.0157596964277565,0.0036237125632236,0.0158662030962494,0.0701127512823808,complex oxide (4 elements),True,P2,3.0,monoclinic
ab7969dde5,CeSCl6O,36,1337.9639703234652,1.9902104111415693,1603.5936,6.733049760077889,2.7004707598627187,0.0730324242510905,0.0200568281966347,0.3231103340273141,1.925609002550749,0.0524190859171607,0.0363462189548841,0.0527349324726825,0.0745489211147528,complex oxide (4 elements),True,P2_1/c,14.0,monoclinic
d8d45058ea,CuSCl6O,18,562.7912008831009,1.913889124475416,648.6568,5.458528312283415,1.8320869832100863,0.0757413317575163,0.0692889193435768,0.3490674432799192,2.123851923965712,0.0368387723308932,0.0176484725582471,0.0366309853084593,0.0756445024021117,complex oxide (4 elements),True,P-1,2.0,triclinic
8bb1b0b22a,Rb2Re2OF10,30,535.5314370708352,4.646960716532861,1498.666064,11.867189936919653,3.942291760137651,0.0518430462484051,0.0672032625784358,0.3504587714681199,2.135396984031926,0.0435425889482303,0.0214205004220783,0.0430411880343911,0.0836682417634184,complex oxide (4 elements),True,P2/c,13.0,monoclinic
70cc7da303,TlRe2Ag(OF2)4,16,305.7389206950371,4.891641043588583,900.6503256,13.751759708467016,3.614834031219609,0.0230740516485468,0.0773230693983524,0.3791567333939439,2.398450581680808,0.0447292360165175,0.0211875048246685,0.0439616931584254,0.0973832067542121,complex oxide (5 elements),True,Cmm2,35.0,orthorhombic
ebd507228c,Na(S8O)3,28,881.7009142063451,1.583034246422655,840.54796928,1.5108804230863029,1.2484607955376554,0.0850702690168691,0.1108752091549505,0.1760667477728774,1.198600634122288,0.0420374747258222,0.0143940423573788,0.0417466890633978,0.1103249173585009,"ternary oxide (A-B-O, other ratio)",True,P1,1.0,triclinic
3bdadbf5e7,AgN5O14,20,308.1645612122838,2.165594653589857,401.8933,9.236685360063614,2.7470437879947216,0.1101507578950972,0.0926481467396126,0.3647091909661339,2.2597704988095555,0.0409543325044878,0.0149563275063248,0.0401632841527856,0.1119463292608683,"ternary oxide (A-B-O, other ratio)",True,I-4,82.0,tetragonal
