material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,family
56ad730aa1,Cs4AsC3O11,38,804.8804562062872,3.377559092637706,1637.1378152000002,20.188166349166,9.442787560751308,2.0524119834931085,0.0961681043478631,0.073568867362815,0.1847478086377047,0.1008512492257734,0.1895457547945118,0.3473536715185967,0.1189012073170264,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
7c2a47b04a,Cs12Ge4S13O,30,1118.2409522577143,3.4425296312797307,2318.2698228,23.488485416878387,12.238597147610417,2.084833287911337,0.064915261525176,0.0488532492953058,0.3685641252924409,0.3278334326357521,0.3692699267042174,0.4135797327599762,0.3952176192294501,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
551aae45a2,CsRb(CO3)2,20,440.4701843925604,2.551417018283774,676.7821038,16.536381876585313,7.702558501038164,2.003141961487731,0.0991355944781855,0.0873789404472655,0.2556869873398764,0.1452668103384528,0.2572837773350729,0.4441581214806859,0.0935614252892194,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
4377d56262,Cs2BO3,24,567.884185314223,3.796861253450827,1298.4804152,18.738187866498528,8.4328082126786,2.030874721916705,0.1209002661391524,0.0902881758506277,0.2119695399933573,0.0983510289918573,0.2089353831410937,0.4529799837129322,0.1691597561005645,False,True,"ternary oxide (A-B-O, other ratio)",other oxide (mixed-anion / molecular-ion)
660939cd61,IrOF8,20,346.77335352302646,3.44970100498633,720.4072512,61.18597844188522,14.838524979288373,2.1788256076111234,0.1286938980686675,0.0148554528813371,0.4606975615960619,0.4502290765400749,0.460580329699064,0.4719251354204087,0.0725167611346402,False,True,"ternary oxide (A-B-O, other ratio)",other oxide (mixed-anion / molecular-ion)
c0e87fb53a,Ba12TaNb3(P3O)4,32,990.1586681602666,4.265180504785175,2543.273764,37.024406128429895,16.025695911119648,2.1794716362188056,0.0391152444369419,0.0330402858101619,0.4079713501005054,0.3251145965052928,0.4099823282584365,0.5100118798518292,0.9759552685808373,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
583f4c1916,Ba6TaNb(P3O)2,32,989.125116073555,4.417440956167791,2631.315264,36.9318574725605,16.06173832843773,2.171903644005482,0.0370951729747351,0.0351418060033318,0.4051153542206544,0.3220755987144261,0.4040724554729382,0.511563809985602,1.0024619007657103,False,True,complex oxide (5 elements),other oxide (mixed-anion / molecular-ion)
fd46afb628,Ba3TaP3O,32,987.170247122799,4.722381486858446,2807.398264,35.358876861747234,15.962694596832584,2.142242212831222,0.0271267768228529,0.0407042759014196,0.3993219282342349,0.3095870530386333,0.4003830366998142,0.5226126116658186,1.0779404130346972,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
fc1b5f7275,Ba3NbP3O,32,989.1644748933804,4.121669551551934,2455.232264,38.99170488912822,16.351553945563765,2.1845761767876626,0.0636692696353228,0.0292282483080686,0.4256676849309845,0.3475541842038136,0.4267644492583396,0.5232539772664518,0.9339059030963844,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
35c2a0315d,Cs2Li(NO3)3,30,525.6648744000574,2.898424095751447,917.5332076,20.25312626956766,9.655471291826332,1.9140683421771885,0.0792877334172853,0.1211787027919261,0.2601253902672311,0.1227754462859904,0.2607677407665411,0.5363803575939396,0.2381591999688905,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
14c794ef32,Cs7Nb(SeO4)6,38,892.1461018105936,3.501060661324508,1880.9901433,28.620646101323327,13.037528010154135,2.1057680172007505,0.1134802296961938,0.0994618026723148,0.2890080342117938,0.149173288588651,0.2852090309463708,0.5631826198578106,0.1274978405039093,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
abbd9e4b22,COF14,32,562.9635055646781,1.7343153906021582,587.9754896000001,37.13412433728801,13.288071667050517,2.090621554790101,0.1611967923056937,0.0682646466095836,0.4389657722322618,0.3262875576702539,0.4430154526802118,0.5937695961218091,0.0436744203135016,False,True,"ternary oxide (A-B-O, other ratio)",other oxide (mixed-anion / molecular-ion)
e9b19e4287,Ba3BiBO3,16,418.2524088075764,5.397628874015667,1359.5412,36.17672190181727,14.875134923938298,2.139478111872452,0.1683051499275069,0.044691930194398,0.50688379266915,0.4368282820744495,0.5085011674383052,0.5951843180697487,0.9402537069088852,False,True,complex oxide (4 elements),other oxide (mixed-anion / molecular-ion)
